x,y,real_psi_tilde,imag_psi_tilde,physical_density
-3.7500000000000000e+00,-3.7500000000000000e+00,1.2715745178582983e-06,0.0000000000000000e+00,1.1497968031762232e-11
-3.3750000000000000e+00,-3.7500000000000000e+00,4.3355662059296243e-06,0.0000000000000000e+00,1.3366851076265954e-10
-3.0000000000000000e+00,-3.7500000000000000e+00,1.3028062653118099e-05,0.0000000000000000e+00,1.2069718506209465e-09
-2.6250000000000000e+00,-3.7500000000000000e+00,3.4524535224215361e-05,0.0000000000000000e+00,8.4760428974086199e-09
-2.2500000000000000e+00,-3.7500000000000000e+00,8.0455613613588124e-05,0.0000000000000000e+00,4.6030974307121681e-08
-1.8750000000000000e+00,-3.7500000000000000e+00,1.6452324036827061e-04,0.0000000000000000e+00,1.9248282041796089e-07
-1.5000000000000000e+00,-3.7500000000000000e+00,2.9498078809964872e-04,0.0000000000000000e+00,6.1876384247388341e-07
-1.1250000000000000e+00,-3.7500000000000000e+00,4.6370360428030021e-04,0.0000000000000000e+00,1.5290384542047379e-06
-7.5000000000000000e-01,-3.7500000000000000e+00,6.3966214933870247e-04,0.0000000000000000e+00,2.9096367309981048e-06
-3.7500000000000000e-01,-3.7500000000000000e+00,7.7529481735459334e-04,0.0000000000000000e+00,4.2743612715867896e-06
0.0000000000000000e+00,-3.7500000000000000e+00,8.2650831419696879e-04,0.0000000000000000e+00,4.8577137311055302e-06
3.7500000000000000e-01,-3.7500000000000000e+00,7.7529728987799855e-04,0.0000000000000000e+00,4.2743885346998705e-06
7.5000000000000000e-01,-3.7500000000000000e+00,6.3966072480365764e-04,0.0000000000000000e+00,2.9096237714228668e-06
1.1250000000000000e+00,-3.7500000000000000e+00,4.6370743163623803e-04,0.0000000000000000e+00,1.5290636953221432e-06
1.5000000000000000e+00,-3.7500000000000000e+00,2.9497865495616135e-04,0.0000000000000000e+00,6.1875489336708329e-07
1.8750000000000000e+00,-3.7500000000000000e+00,1.6452685800684690e-04,0.0000000000000000e+00,1.9249128537319226e-07
2.2500000000000000e+00,-3.7500000000000000e+00,8.0453899458339173e-05,0.0000000000000000e+00,4.6029012892818121e-08
2.6250000000000000e+00,-3.7500000000000000e+00,3.4524768321079444e-05,0.0000000000000000e+00,8.4761573519943877e-09
3.0000000000000000e+00,-3.7500000000000000e+00,1.3025709527587948e-05,0.0000000000000000e+00,1.2065358840682342e-09
3.3750000000000000e+00,-3.7500000000000000e+00,4.3291555628491035e-06,0.0000000000000000e+00,1.3327351386558108e-10
3.7500000000000000e+00,-3.7500000000000000e+00,1.2725422399238151e-06,0.0000000000000000e+00,1.1515475572553391e-11
4.1250000000000000e+00,-3.7500000000000000e+00,3.2912743347126789e-07,0.0000000000000000e+00,7.7031016862850752e-13
4.5000000000000000e+00,-3.7500000000000000e+00,7.9098280201413087e-08,0.0000000000000000e+00,4.4490936396951170e-14
4.8750000000000000e+00,-3.7500000000000000e+00,9.0862516598365980e-09,0.0000000000000000e+00,5.8709311449517041e-16
5.2500000000000000e+00,-3.7500000000000000e+00,2.1992791073430046e-10,0.0000000000000000e+00,3.4395225543078706e-19
5.6250000000000000e+00,-3.7500000000000000e+00,4.6986883463404400e-09,0.0000000000000000e+00,1.5699677991847438e-16
-6.0000000000000000e+00,-3.3750000000000000e+00,4.9393055109081079e-09,0.0000000000000000e+00,1.7348792128062012e-16
